station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Versailles - Claude Terrasse,16041,5,9,14,46,"[48.840219338074, 2.263834191153]"
Lamartine - Faubourg Montmartre,9015,5,4,9,32,"[48.876613982891, 2.3397656902671]"
Georges V - François 1er,8049,10,4,14,22,"[48.87034, 2.30082]"
Pablo Picasso - Olympiades,41213,5,0,5,36,"[48.855203, 2.48724]"
Roquette - Folie Regnault,11110,2,1,3,52,"[48.859246959155485, 2.386553623578705]"
Vignes - Boulainvilliers,16031,4,4,8,21,"[48.856399483950504, 2.275240458548069]"
Terroirs de France - Lheureux,12153,13,24,37,55,"[48.83212027074841, 2.388618104159832]"
René Coty - Parc Montsouris,14016,1,0,1,55,"[48.82479134498032, 2.336124926805496]"
François Truffaut - Saint Emilion,12033,9,50,59,66,"[48.83372354344807, 2.386601903271428]"
Jessaint - Marx Dormoy,18142,1,0,1,30,"[48.88484543106364, 2.358930408954621]"
Sèvres Rive Gauche,23105,0,14,14,33,"[48.821443218278, 2.2150785306885]"
Suffren - Pérignon,15009,2,14,16,46,"[48.84717561492764, 2.307052147596786]"
Gare de Clichy-Levallois,23005,1,5,6,26,"[48.89679827481989, 2.2984680533409123]"
Saint-Fargeau - Mortier,20117,1,0,1,31,"[48.87266656122256, 2.407912909984589]"
République - Auguste Perret,48009,1,1,2,30,"[48.78695280952244, 2.3518594354391094]"
Jean Moulin - Paul Doumer,31017,0,0,0,20,"[48.8622179854695, 2.45533436536789]"
Boutroux - Porte de Vitry,13047,6,31,37,49,"[48.822632, 2.377738]"
Beaumarchais - Pas de la Mule,4107,9,3,12,18,"[48.855580507049, 2.3684333673431]"
Quai Marcel Boyer - Victor Hugo,42011,1,23,24,29,"[48.822556366667, 2.3920395970345]"
Cours de Vincennes - Davout,20047,1,4,5,48,"[48.847238029966, 2.4107042336225]"
Mairie du 9ème,9013,4,17,21,24,"[48.873267137583, 2.3407534480528]"
Monte Cristo - Bagnolet,20204,1,1,2,36,"[48.85656581187, 2.3972699046135]"
Place Marcel Sembat,21017,4,38,42,56,"[48.833288650307, 2.2441747784615]"
Pré Saint-Gervais - Lilas,19113,2,1,3,28,"[48.877870626988, 2.3959073424339]"
Gergovie - Vercingétorix,14128,2,0,2,29,"[48.83453413883994, 2.313154547426182]"
Hôpital Robert Debré,19036,9,5,14,33,"[48.88005222200894, 2.4008650346327003]"
Jules Guesde - Laennec,31101,11,1,12,19,"[48.87628983900398, 2.5006942078471184]"
Edouard Vaillant - Galliéni,31707,2,3,5,49,"[48.858462881661, 2.4147954583168]"
Alexander Fleming - Belvédère,19124,6,0,6,31,"[48.88179064200294, 2.4030599377642674]"
Place du Front Populaire - George Sand,32021,23,13,36,65,"[48.90680713698062, 2.364541214992642]"
Rapp - Place du Général Gouraud,7024,0,4,4,31,"[48.858102885107, 2.3004072904587]"
Bastille - Quai de la Rapée,12150,6,16,22,27,"[48.84682410855, 2.3669364675879]"
Jacquard - Ternaux,11031,3,8,11,39,"[48.8646605, 2.373162]"
Choron - Martyrs,9016,1,3,4,29,"[48.877851443503, 2.3396701365709]"
Cimetière d'Issy-les-Moulineaux,21316,0,0,0,24,"[48.817699773925, 2.2609312087297]"
Parc Suzanne Lenglen,15125,5,36,41,52,"[48.833250690537874, 2.2765403240919113]"
Pierre Demours - Laugier,17029,5,2,7,37,"[48.8813072, 2.294846]"
Metz - Faubourg Saint-Denis,10004,6,14,20,48,"[48.870893, 2.353521]"
Censier - Santeuil,5034,9,54,63,69,"[48.840658921385234, 2.3537524044513702]"
Botzaris - Crimée,19025,1,0,1,21,"[48.87959698690176, 2.3887913337477067]"
Pelée - Alphonse Baudin,11103,3,23,26,38,"[48.8600265, 2.3710541]"
Mairie de Neuilly sur Seine,22013,4,5,9,31,"[48.884947287658, 2.2677031159401]"
Louis Blanc - Jemmapes,10110,7,4,11,31,"[48.879330755297, 2.3684485629201]"
Square de la rue Pixérécourt,20002,1,0,1,45,"[48.8736824, 2.3960278]"
Marcel Yol - Jullien,21708,0,1,1,30,"[48.82537611802588, 2.287235018058929]"
Victor Cresson - Telles de la Poterie,21307,0,12,12,31,"[48.822698842979, 2.2686498274964]"
Hôtel de ville de Fontenay-sous-Bois,41210,0,2,2,20,"[48.84949749106274, 2.4750164151191716]"
Gare SNCF Vanves-Malakoff,21702,0,0,0,51,"[48.819002163836444, 2.292150005103606]"
Résistance - Hoche,31021,0,0,0,29,"[48.864273423741956, 2.435784414410591]"
Raffet - Montmorency,16115,0,0,0,42,"[48.85258670812, 2.2629252456151954]"
Ivry - Simone Weil,13039,4,0,4,18,"[48.823283932030755, 2.3659095168113713]"
Cimetière de Boulogne-Billancourt,21031,0,17,17,40,"[48.830764, 2.252024]"
Place Saint-Ferdinand,17039,2,2,4,38,"[48.87815529789739, 2.288518047864942]"
Hôtel de Ville de Fontenay-aux-Roses,22604,2,10,12,34,"[48.790844603480856, 2.2871455930319455]"
Vanne - Saussaies,42305,2,0,2,20,"[48.786404, 2.338848]"
Bruneseau - Quai d'Ivry,13121,3,33,36,46,"[48.824945637583, 2.3885661363602]"
Wurtz - Tolbiac,13048,1,8,9,28,"[48.82631195621, 2.344585955143]"
Pierre Lefaucheux - Traversière,21028,4,14,18,35,"[48.82435208303827, 2.2417913004755974]"
Square Alban Satragne,10018,8,8,16,30,"[48.875388227727, 2.3559567333359]"
Mairie de Romainville,32301,0,0,0,17,"[48.885109, 2.435679]"
Jardin de l'Hospice Debrousse,20108,1,0,1,23,"[48.861451061938, 2.40568600595]"
Amaury Duval - Gabriel Péri,21219,0,9,9,36,"[48.81718759671675, 2.323841750621796]"
Gallieni - Lycée Charles Petitet,23902,21,20,41,45,"[48.927640283627, 2.3308986340524]"
Buzenval - Avron,20007,3,0,3,50,"[48.851617204999, 2.4015135973077]"
Porte d'Italie,13033,4,1,5,13,"[48.817161987718954, 2.360236309468746]"
Vitruve - Davout,20122,0,1,1,23,"[48.86053161154489, 2.4091592812626543]"
Place Nationale - Château-des-Rentiers,13126,2,2,4,18,"[48.829268, 2.365212]"
Gare Montparnasse - Edgar Quinet,14101,2,2,4,33,"[48.841487851079, 2.3233232282801]"
Place de Lévis,17015,2,0,2,48,"[48.883546851533254, 2.3131933808326726]"
La Motte-Picquet - Grenelle,15023,4,28,32,34,"[48.84858321339195, 2.299347817897797]"
Théâtre de La Garenne,22501,0,1,1,20,"[48.905658361454, 2.2345951981176]"
Place de l'Insurrection d'Août 1944,42003,4,7,11,30,"[48.81477852751594, 2.398074567317963]"
Hôpital - Campo-Formio,13011,2,2,4,11,"[48.835405, 2.358218]"
Lycée Saint Exupéry - Juliette Savar,40009,1,6,7,30,"[48.783021513972, 2.4637357216879]"
Place Fernand Forest,15072,2,31,33,33,"[48.849269143836, 2.281863167882]"
Président Wilson - Baudin,23003,8,15,23,28,"[48.89826887103676, 2.2849336266517644]"
Gaston Tessier - Rosa Parks RER,19108,3,1,4,37,"[48.8963765, 2.3743692]"
Camille Groult - Guy Môquet,44007,5,9,14,22,"[48.787482746521306, 2.3976725712418556]"
Mazagran - Bonne Nouvelle,10105,3,1,4,25,"[48.870047123655, 2.3511248454452]"
Jacques Kellner - Saint-Ouen,17003,1,2,3,45,"[48.895809485802886, 2.327897409164145]"
Raspail - Albert Schweitzer,42501,2,23,25,28,"[48.81031545, 2.34395871]"
Assas - Luxembourg,6008,5,11,16,33,"[48.843734468779, 2.3334283818759]"
Brillat-Savarin - Küss,13109,1,7,8,21,"[48.822203, 2.350422]"
Estienne d'Orves - Henri Ginoux,21204,0,0,0,31,"[48.815388220397274, 2.320886790760933]"
Louis Pasteur - Albert Petit,22206,1,1,2,31,"[48.796261, 2.317289]"
Louis Rolland - République,21217,1,1,2,26,"[48.81710889740748, 2.3193106434955717]"
Faubourg Poissonnière - Dunkerque,9114,2,0,2,30,"[48.880883445404436, 2.349934279918671]"
Victor Hugo - La Pompe,16011,1,0,1,41,"[48.86795222470859, 2.28146318346262]"
Colmar - Victor Hugo,25001,13,16,29,32,"[48.88652251096166, 2.173960916697979]"
Benjamin Delessert - Jean Lolive,35007,3,2,5,21,"[48.89392043619345, 2.417981922626496]"
Gare de l'Est - Place du 11 Novembre 1918,10165,0,1,1,40,"[48.876327, 2.3585464]"
Paris - Laitières,43001,8,4,12,22,"[48.846302741513, 2.4207553267479]"
Cimetière de Montmartre,18003,4,0,4,43,"[48.886472466142, 2.3328901827335]"
Lucien Lanternier - Le Luth,22303,8,12,20,27,"[48.93159430558871, 2.2889783978462224]"
Conservatoire Marcel Dadi,40005,7,4,11,26,"[48.790090379157, 2.4535970427243]"
Lucien Bossoutrot - Général Martial Vallin,15057,8,17,25,39,"[48.836956046311, 2.2741072252393]"
Pergolèse - Malakoff,16002,4,3,7,38,"[48.87521088779225, 2.2842781618237495]"
Quai de l'Oise - Aisne,19128,3,0,3,30,"[48.8906231, 2.3833701]"
Mairie de Clamart,21401,11,7,18,33,"[48.800612, 2.262151]"
Place Jeanne d'Arc,13044,3,3,6,36,"[48.829575, 2.369126]"
Bessières - Porte de Clichy,17108,11,10,21,33,"[48.89611762451474, 2.31790903955698]"
Place du 14 Juillet,22408,2,1,3,22,"[48.819266959525, 2.3011998832226]"
Place Lafayette,21306,18,36,54,62,"[48.829654975522, 2.2638675570488]"
Halles - Bourdonnais,1021,11,5,16,20,"[48.860448992575, 2.3460162431002]"
La Motte-Picquet - La Tour Maubourg,7017,0,23,23,40,"[48.856926701847, 2.3096215831203]"
Maréchal Joffre - Verdun,41205,2,0,2,20,"[48.85385, 2.470307]"
Saint-Mandé - Fabre d'Eglantine,12018,6,4,10,34,"[48.8453579, 2.3965022]"
Placette Grégoire Collas,51002,5,2,7,25,"[48.94342014002797, 2.2487476095557213]"
Porte des Lilas - Faidherbe,32601,0,1,1,39,"[48.87861855668978, 2.4120327830314636]"
Fort d'Aubervilliers,33016,8,5,13,22,"[48.91502382370325, 2.4035281687974925]"
Place Ginette Hamelin,12026,17,11,28,51,"[48.837853, 2.382064]"
Alexandre Parodi - Quai de Valmy,10162,4,3,7,24,"[48.879359419425, 2.3665961623192]"
Gare du Stade,27005,6,5,11,20,"[48.9312676, 2.2603778]"
Suffren - Champ de Mars,15071,4,0,4,23,"[48.8547194, 2.2952168]"
Taitbout - La Fayette,9024,20,14,34,53,"[48.8733298892, 2.3352625966072]"
Arsène Houssaye - Friedland,8201,10,4,14,29,"[48.874510616163, 2.2994716674148]"
Lemercier - Cardinet,17111,1,3,4,24,"[48.890097168851746, 2.317377626895905]"
Place des Fêtes - Solitaires,19210,1,1,2,29,"[48.876644633122, 2.3920327806309]"
Londres - Place d'Estienne d'Orves,9102,6,5,11,25,"[48.876693805756986, 2.3305362090468407]"
Place Nelson Mandela,92006,6,0,6,30,"[48.897874318180556, 2.2182820737361912]"
Square Denise Buisson,31005,4,9,13,45,"[48.8562322730982, 2.426436245441437]"
Glacière - Soeur Catherine Marie,13516,1,10,11,40,"[48.829522989420596, 2.343570403754711]"
Vivaldi - Antoine-Julien Hénard,12028,2,5,7,27,"[48.841923663276546, 2.389728979467376]"
Marché Saint-Quentin,10021,2,1,3,15,"[48.877356057652, 2.3545114456374]"
Constant Coquelin - Invalides,7202,4,11,15,31,"[48.848283157236, 2.315749520203]"
Square Etienne Jarousse,21707,0,0,0,25,"[48.82485182597129, 2.2925933450460434]"
Cloître Saint-Merri - Renard,4019,12,12,24,32,"[48.858835448898, 2.3518279194832]"
Esplanade du Foncet - Camille Desmoulins,21319,14,9,23,28,"[48.827090233495, 2.2606857866049]"
Charentonneau - Maison Alfort,47009,10,8,18,28,"[48.809972406542, 2.443241664773]"
Harpe - Saint-Germain,5001,2,3,5,45,"[48.851518815017, 2.3436703160405]"
Gare d'Argenteuil,51001,22,3,25,40,"[48.947022436806705, 2.256898172199726]"
Jules Guesdes - Général de Gaulle,21315,0,6,6,24,"[48.81930581291959, 2.278934195637703]"
Cherche-Midi - Hôpital Necker,15006,1,3,4,38,"[48.84461063309956, 2.317914068698883]"
Leredde - Tolbiac,13052,7,31,38,44,"[48.82887629664, 2.3744382709265]"
Jean Monnet - Iles,21303,3,9,12,32,"[48.823393984057304, 2.2497073194874866]"
Parc Eli Lotar,33014,1,4,5,20,"[48.91844993053703, 2.3727085813879967]"
Condorcet - Turgot,9007,1,0,1,20,"[48.87985155789093, 2.345232367515564]"
Balard - Montagne de la Fage,15070,2,29,31,36,"[48.838507403334, 2.2782871127129]"
Benoît Frachon - République,20105,13,7,20,30,"[48.85230729014318, 2.415605485439301]"
Jean Jaurès - Jules Jacquemin,33103,2,3,5,24,"[48.88433053604843, 2.4082902455152104]"
Mairie du 14ème,14032,2,0,2,32,"[48.83254578123, 2.3254923149943]"
Place des Droits de l'Enfant,14011,1,0,1,39,"[48.8274804, 2.3319217]"
Didot - Place de Moro-Giafferi,14031,1,0,1,22,"[48.8337, 2.3215]"
Favart - Italiens,2013,4,5,9,17,"[48.871446353921, 2.3382901058508]"
Villiers - Batignolles,17024,4,1,5,23,"[48.881252538461, 2.3165384307504]"
Gare du Nord - Saint-Vincent de Paul,10033,3,0,3,24,"[48.880955741648, 2.3524305148385]"
Place du Général Leclerc,43201,4,2,6,22,"[48.76529107158, 2.3926565092808]"
Jardins d'Eole,18039,0,6,6,20,"[48.8869703, 2.3668488]"
Porte de Bagnolet,20022,1,0,1,33,"[48.864707139122984, 2.408344637349607]"
Plantes - Moulin Vert,14026,1,0,1,45,"[48.83005755305626, 2.3232302069664006]"
Cité Riverin - Château d'Eau,10008,1,12,13,18,"[48.870702423554306, 2.358739863900845]"
Porte Molitor,16036,5,8,13,60,"[48.84524763511433, 2.2569015249609947]"
Charles Frérot - Albert Guilpin,42505,2,23,25,30,"[48.8155839183714, 2.3505029082298283]"
Edgar Quinet - Gaité,14001,3,0,3,27,"[48.841160928966, 2.324595451355]"
Gare RER les Grésillons,26004,4,10,14,22,"[48.919898633572764, 2.31458459136273]"
Poissonniers - Championnet,18139,2,3,5,28,"[48.89543299733937, 2.3530178144574165]"
Murat - Porte de Saint-Cloud,16042,6,1,7,38,"[48.83750862621299, 2.2577651962637906]"
Sèvres - Lecourbe,15008,7,44,51,62,"[48.8447677, 2.3110086]"
Square Claude Bernard,19110,12,15,27,30,"[48.89876016219984, 2.375325746834278]"
Crevaux - Bugeaud,16105,2,0,2,31,"[48.87080942867, 2.2811490076919]"
Place de la Madeleine - Royale,8117,19,21,40,43,"[48.869228052648, 2.324421107769]"
Ecoles - Carmes,5007,9,20,29,36,"[48.848904447989, 2.3473486304283]"
Camille Risch - Paul Armangot,44014,0,5,5,25,"[48.774703, 2.373685]"
Reuilly - Daumesnil,12037,3,0,3,36,"[48.8395385, 2.3972516]"
Mairie du 16ème,16013,0,0,0,35,"[48.863936848471994, 2.2765953093767166]"
Cité Vaneau,7012,8,11,19,26,"[48.8542210666207, 2.319614924490452]"
Pyrénées - Avron,20008,2,0,2,32,"[48.853246898211985, 2.405871044529538]"
Gare de Reuilly - Picpus,12019,12,2,14,28,"[48.84267354116789, 2.3972943797707558]"
Jourdan - Cité Universitaire,14135,2,2,4,39,"[48.819897343156676, 2.3397007964124366]"
Gambetta - Père Lachaise,20024,0,0,0,29,"[48.864295696165875, 2.398228667282044]"
Porte de Clignancourt - Ney,18140,13,7,20,40,"[48.899641123987095, 2.344321422278881]"
Square Montholon,9009,0,6,6,21,"[48.876620377545024, 2.3457641154527664]"
Louis Blanc - La Chapelle,10034,3,2,5,21,"[48.884008964514, 2.3599335551262]"
Herschel - Observatoire,6104,16,0,16,56,"[48.84342376221923, 2.3376645147800446]"
Pergolèse - Marbeau,16102,1,0,1,27,"[48.873568706869, 2.2815125225299]"
Place de la Nation - Charonne,20001,3,2,5,36,"[48.848364667777, 2.3997623859813]"
Italie - Tage,13208,0,0,0,0,"[48.822282643954, 2.3584301877038]"
Petit - Georges Thill,19201,1,0,1,23,"[48.88603131999171, 2.3895753175020222]"
Emile Reynaud - Porte de la Villette,19010,0,1,1,22,"[48.90098953630053, 2.3887022584676743]"
Chausson - Gabriel Péri,22301,3,15,18,22,"[48.921891003481115, 2.2952306270599365]"
Place de l'Europe - Alfortville,41405,5,3,8,24,"[48.78913702405837, 2.4284800887107854]"
Maurice d'Ocagne - General Maudhuy,14137,0,1,1,30,"[48.82414282524159, 2.3158789426088333]"
Turbigo - Réaumur,3011,8,15,23,31,"[48.865574047531, 2.3564198613167]"
Place de la Fraternité,31709,3,3,6,22,"[48.85716405838368, 2.422847449779511]"
Mairie du 8ème,8027,6,3,9,28,"[48.877932, 2.318264]"
Charles de Gaulle - Plateau de Vanves,22401,5,3,8,33,"[48.82233088973263, 2.298571803412886]"
Archives - Rivoli,4103,3,11,14,25,"[48.857346707443, 2.3539767041802]"
Maine - Liancourt,14103,5,2,7,27,"[48.835064363954, 2.323731449974]"
Beaumarchais - Saint-Gilles,3001,9,34,43,51,"[48.8580378, 2.3679352]"
Italie - Vistule,13209,0,0,0,0,"[48.823439332972, 2.3582062304047]"
Saint-Denis - Université,32013,17,3,20,24,"[48.94563430946964, 2.3638297989964485]"
Frères Flavien - Porte des Lilas,20029,0,0,0,23,"[48.8780992764359, 2.41104629853209]"
Olivier de Serres - Leriche,15111,3,2,5,25,"[48.83460221715206, 2.2957482933998112]"
Temple - Haudriettes,3009,7,5,12,19,"[48.861636880212, 2.3566960206458]"
Blancs-Manteaux - Archives,4014,6,11,17,29,"[48.85941800703, 2.3559471219778]"
Hôtel de Ville de Chaville,23702,2,0,2,20,"[48.80887149094033, 2.188134044408798]"
Etienne Marcel - Montorgueil,2002,0,7,7,28,"[48.86450567259199, 2.3461959511041637]"
Lally-Tollendal - Armand Carrel,19012,1,4,5,28,"[48.88270066221072, 2.374717555940151]"
Lagny - Auguste Blanqui,31001,6,9,15,27,"[48.84922568052601, 2.4218603968620305]"
Place du 17 Octobre,22306,2,14,16,20,"[48.91962690034779, 2.2978286134199792]"
Adolphe Pinard - Victor Hugo,14023,1,1,2,52,"[48.8236825874564, 2.3077843710780144]"
Square Emile - Chautemps,3012,8,14,22,25,"[48.867433724231, 2.3536357283592]"
Victoire - Laffitte,9111,6,7,13,20,"[48.87514373494672, 2.338118505144376]"
Gare d'Austerlitz - Pont Charles de Gaulle,13125,13,37,50,75,"[48.842319830109, 2.3670300096273]"
Sainte-Elisabeth - Turbigo,3005,9,9,18,33,"[48.86610337431, 2.3596492409706]"
Pierre Sarrazin - Saint-Michel,6031,8,15,23,33,"[48.850908146398, 2.342130728066]"
Tiron - Rivoli,4012,2,17,19,28,"[48.855692253233, 2.3579058051109]"
Alouettes - Maréchal de Lattre de Tassigny,41208,9,1,10,22,"[48.85511009293948, 2.4930700287222862]"
Place de l'Hôtel de Ville,4017,1,12,13,14,"[48.8573314, 2.351458]"
Barbès - Monique Maunoury,42026,0,0,0,40,"[48.81552718820216, 2.3687169334905405]"
Saint-Gilles - Turenne,3002,0,11,11,18,"[48.858158956779, 2.3647149920992]"
Pau Casals - Neuve Tolbiac,13054,35,40,75,78,"[48.8311602, 2.3774395]"
Édouard Vaillant - Place Jean Jaurès,21505,1,1,2,24,"[48.86265537999924, 2.2089037319128613]"
Aboukir - Alexandrie,2016,2,8,10,21,"[48.86868344444473, 2.3502043269474897]"
Saint-Bon - Rivoli,4018,2,24,26,31,"[48.857999643315, 2.3502172809763]"
Place de la Bastille - Bourdon,4007,7,17,24,35,"[48.852364355271, 2.3681089282036]"
Commandant Schloesing - Pétrarque,16202,1,1,2,30,"[48.861773096259, 2.2838841134601]"
Saint-Jacques - Val de Grâce,5004,4,2,6,19,"[48.8417514, 2.3413893]"
Bastille - Beaumarchais,4101,2,16,18,23,"[48.853833463852, 2.3685702681541]"
Waldeck Rochet - Germaine Tillon,33020,20,10,30,31,"[48.91105960199651, 2.3676301538944244]"
Place du 8 mai 1945.,32019,2,14,16,30,"[48.938882272105, 2.3566243797541]"
Chaussée d'Antin - Haussmann,9039,13,10,23,28,"[48.87243, 2.33359]"
Gare des Vallées,22506,3,2,5,20,"[48.913179, 2.257726]"
Oratoire - Rivoli,1025,3,14,17,18,"[48.861342760889, 2.3400047421455]"
Square Victor Basch,27001,6,8,14,20,"[48.914304862261, 2.2289156913757]"
Mairie du 2ème,2008,14,9,23,28,"[48.8672190355135, 2.3404625437747044]"
Place du Lieutenant Henri Karcher,1026,6,18,24,30,"[48.863490871724466, 2.3400671035051346]"
Grande Rue - Europe,23101,7,10,17,25,"[48.8218104687602, 2.205879874527455]"
Custine - Ramey,18015,0,0,0,41,"[48.888735896947, 2.3469526693225]"
Berthier - Porte de Clichy,17106,2,11,13,24,"[48.894222687781, 2.3125872006816]"
Marx Dormoy - Château Sainte-Barbe,22601,0,2,2,22,"[48.791782341055324, 2.297856844961643]"
Amédée Huon - Fort d'Ivry,42018,5,1,6,31,"[48.805131376899986, 2.388489693403244]"
Decrès - Alésia,14201,5,1,6,30,"[48.832200060759, 2.3139070151575]"
Jouffroy d'Abbans - Villiers,17021,0,3,3,34,"[48.884215547037, 2.3056533560157]"
Charlot - Stade Gabriel Voisin,21323,8,18,26,31,"[48.827228120536, 2.268122527474]"
Stade Pershing,12164,1,2,3,26,"[48.829107826857, 2.4583535268903]"
Nicolaï - Charenton,12203,1,5,6,44,"[48.835478791995, 2.392894725661]"
Résistance - Parmentier,31020,1,0,1,35,"[48.85965138131299, 2.436705082654953]"
Place de la Division Leclerc,22603,0,0,0,34,"[48.793824988636516, 2.2731140430551027]"
Cardinal Lavigerie,12113,18,16,34,46,"[48.832934193699835, 2.402636749399156]"
André Theuriet - Blagis,23042,12,10,22,30,"[48.77977325745441, 2.3130525648593903]"
Lampes,42019,3,28,31,43,"[48.81152481985875, 2.4017931148409843]"
Jules Guesdes - Carnot,32020,2,0,2,16,"[48.93828169931872, 2.3508992046117783]"
Victor Hugo - Gare,27006,15,4,19,22,"[48.923133952658, 2.2600970417261]"
Les Halles - Saint-Eustache,1008,9,12,21,32,"[48.86362695901683, 2.342623919248581]"
Coquillière - Louvre,1024,6,14,20,21,"[48.863795909662, 2.3425736278296]"
Porte de Pantin.,19046,0,0,0,33,"[48.889199725577, 2.3950181901455]"
Bréa - Raspail,6007,3,3,6,24,"[48.842738478258, 2.3297942217634]"
Vaugirard - Monsieur le Prince,6029,15,5,20,26,"[48.848951441614, 2.3411329463124]"
Victor Hugo - Paul Eluard,42210,4,21,25,32,"[48.819602554907, 2.4114319673051]"
Youri Gagarine - Commune de Paris,44008,1,0,1,33,"[48.782427463041, 2.3939734697342]"
Silly - Louis Blériot,21011,9,0,9,23,"[48.83219045374266, 2.2340199351310734]"
Gare de Robinson,23303,2,1,3,30,"[48.7799259211605, 2.281828634440899]"
Dutot - Place Alleray,15018,2,1,3,56,"[48.836826091766, 2.3071701095578]"
Bagnolet - Place Saint-Blaise,20048,1,0,1,28,"[48.85973, 2.40334]"
Strasbourg - Saint-Denis,10166,6,8,14,16,"[48.869601642433, 2.3542908579111]"
André Mazet - Saint-André des Arts,6015,4,12,16,55,"[48.85375581057431, 2.3390958085656166]"
Mairie,32605,0,0,0,20,"[48.87914304162, 2.4163350908311]"
Stade de France - Francis de Pressensé,32011,10,1,11,44,"[48.919141953558, 2.3620655760169]"
Charenton - Wattignies,12202,6,4,10,40,"[48.836919119234, 2.3916775206425]"
Béranger - Félix Faure,23206,1,0,1,28,"[48.80404828621485, 2.2848263373723436]"
Bichat - Grange aux Belles,10202,6,3,9,30,"[48.873688, 2.365015]"
Saint-Augustin,8018,13,5,18,45,"[48.8762009747008, 2.319786250591278]"
Riquet - Marx Dormoy,18010,2,1,3,36,"[48.89021003702, 2.3601756244898]"
Chastenet de Géry - Marcel Paul,48001,0,0,0,25,"[48.800123, 2.3567359]"
Martyrs de Châteaubriant - Jean Grandel,51008,14,2,16,38,"[48.951432, 2.211214]"
Ney - Porte de Montmartre,18135,1,0,1,24,"[48.897918, 2.3364872]"
Place Charles de Gaulle,24101,2,0,2,24,"[48.826073335699, 2.1894485725692]"
Place du Maréchal de Lattre de Tassigny,21704,1,3,4,27,"[48.821707715257055, 2.2853431485432423]"
Belleville -  Pré Saint-Gervais,19121,1,0,1,35,"[48.875565910073, 2.3930460959673]"
Manin - Secrétan,19114,3,0,3,20,"[48.8791665, 2.3787959]"
Bobillot - Tolbiac,13024,2,1,3,33,"[48.8255961335041, 2.350204177200794]"
François Ponsard - La Muette,16021,5,1,6,23,"[48.8583666, 2.2744515]"
Général Leclerc - Bièvre,23041,0,1,1,25,"[48.782414428747316, 2.3166695237159733]"
Pierre Charron - Champs-Elysées,8040,7,5,12,32,"[48.870103359864, 2.3043501377106]"
Mairie de Rosny-sous-Bois,31104,22,3,25,30,"[48.871256519012, 2.4865807592869]"
Place du Docteur Yersin,13116,1,1,2,50,"[48.82010494991975, 2.3725583776831627]"
Maxime Gorki - Paul Vaillant-Couturier,48006,1,0,1,20,"[48.79673508795443, 2.3683342337608337]"
Cambronne - Mademoiselle,15012,1,21,22,67,"[48.843277330035214, 2.30230766886348]"
Francoeur - Caulaincourt,18016,3,0,3,34,"[48.8899944409612, 2.342529706656933]"
Dôme - République,21022,7,10,17,25,"[48.832681, 2.250257]"
Franquet - Labrouste,15041,1,5,6,37,"[48.83287705011431, 2.306762784719467]"
Hauteville - Bonne Nouvelle,10003,3,1,4,17,"[48.87077436024, 2.3496496368327]"
Place de la vache noire,41103,4,3,7,25,"[48.81040517059777, 2.327060401439667]"
Place Charles Digeon,41602,0,19,19,32,"[48.84354203133597, 2.418427169322968]"
Place Eustache Deschamps,42303,1,10,11,20,"[48.793855, 2.336637]"
LCL Campus - Place Oscar Niemeyer,48002,2,1,3,37,"[48.805342480621576, 2.363983690738678]"
Général De Gaulle - Vivien,41605,0,1,1,22,"[48.83607420090204, 2.4189166724681854]"
Moscou - Edouard Vaillant,30003,11,2,13,30,"[48.90755810177, 2.4689837335263]"
Guillaume Tell - Parc Henri Barbusse,35013,4,0,4,20,"[48.88958925894009, 2.4198862910270695]"
Pyrénées - Charles Renouvier,20020,0,0,0,29,"[48.86095933229224, 2.400421852042113]"
Pierre Joseph Desault,13120,1,5,6,19,"[48.82110230800372, 2.378775402903557]"
Dom-Pérignon - Gravelle,12119,3,11,14,50,"[48.825481574435, 2.409880310297]"
Mairie du 10ème,10009,0,4,4,19,"[48.872089449907, 2.3575825989246]"
Sydney Bechet - Jacques Gautier,23803,16,1,17,20,"[48.844373437692, 2.1882475733068]"
Hôtel de Ville de Vincennes,43007,2,3,5,27,"[48.84827609706963, 2.4398955702781677]"
Dominique Pado - Croix Nivert,15050,4,3,7,22,"[48.83648798164934, 2.2897250577807426]"
Pereire - Saussure,17117,3,0,3,32,"[48.888229075478, 2.3101296275854]"
Siam - La Pompe,16017,3,0,3,16,"[48.861720329027264, 2.275346568555312]"
Marcadet - Ramey,18021,0,1,1,39,"[48.890875, 2.3449019]"
George Sand - Jean de La Fontaine,16116,2,8,10,29,"[48.84986918764119, 2.268257387525699]"
Alexandre Dumas - Place de la Réunion,20013,2,0,2,45,"[48.85533710742046, 2.3997703687646292]"
Saint-Séverin - Saint-Michel,5033,3,10,13,30,"[48.852731305488, 2.3440927639604]"
Sahel - Général Michel Bizot,12022,1,25,26,47,"[48.840872964793355, 2.4044444784522057]"
Duhamel - André Gide,15027,0,0,0,20,"[48.8365662244334, 2.312707121097412]"
Général Leclerc - République,22701,9,8,17,30,"[48.915885074177, 2.2682306702811]"
Legendre - Nollet,17110,3,3,6,30,"[48.887742186754224, 2.320293079881375]"
Square des Amandiers,20032,2,0,2,26,"[48.86615630668046, 2.3891324177384377]"
Maine - Jean Zay,14035,7,1,8,50,"[48.837925263898, 2.3225428909063]"
