station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Sibelle - Alésia,14012,1,0,1,37,"[48.826701758539215, 2.3384983465075493]"
Place de la Reine Astrid,8045,15,11,26,58,"[48.864920982538, 2.3025491823859]"
Place de la Porte de Champeret,17203,1,5,6,28,"[48.886062068226, 2.2917001576821]"
Arsène Houssaye - Champs-Elysées,8028,0,0,0,0,"[48.873409276267, 2.2977904602885]"
David Weill - Parc Montsouris,14124,2,0,2,22,"[48.821092374256104, 2.333725690841675]"
Saint Lambert - Blomet,15133,1,8,9,27,"[48.83659148147257, 2.2930556908249855]"
Place Robert Guillemard,15110,2,20,22,24,"[48.836191728066666, 2.2811267160086417]"
Marcelin Berthelot,21006,6,9,15,27,"[48.8415473058801, 2.233161628246308]"
Hoche - Jean Lolive,35010,10,3,13,24,"[48.891102392008, 2.4028435349464]"
Nationale - Place Jules Guesde,21015,5,11,16,23,"[48.82753962462998, 2.2416052222251897]"
Gabriel Péri - Danielle Casanova,44003,5,5,10,20,"[48.790114, 2.4025777]"
Censier - Jardin des Plantes,5028,6,12,18,28,"[48.84107178161383, 2.355475388467312]"
Karl Marx,48010,1,0,1,16,"[48.784527937293184, 2.3646667979455587]"
Gare Rer de Fontenay sous Bois,41202,5,18,23,61,"[48.8436279, 2.4630465]"
Cossonnerie - Sébastopol,1119,3,13,16,24,"[48.86132665908402, 2.349419631063938]"
Louis Lumière - Porte de Bagnolet,20115,2,4,6,20,"[48.86431136, 2.4105210229754]"
Paris - Emile Zola,31003,6,2,8,30,"[48.854898095789295, 2.4186685681343083]"
Victoire - Chaussée d'Antin,9116,11,10,21,24,"[48.875065791004396, 2.3316738009452824]"
Assas - Rennes,6025,5,1,6,32,"[48.8492084999386, 2.32851454623001]"
Quai des Célestins - Henri IV,4201,2,5,7,12,"[48.851290697625, 2.3624387532495]"
Richard Lenoir - Jean-Pierre Timbaud,11039,1,24,25,36,"[48.865804276686, 2.3693370749669]"
Legendre - Dulong,17013,2,0,2,23,"[48.885325169402904, 2.316423766314984]"
Square du Théâtre du Garde-Chasse,32604,0,0,0,50,"[48.881287375060616, 2.420119643211365]"
Botzaris - Parc des Buttes Chaumont,19024,1,0,1,20,"[48.877951, 2.381464]"
Joseph Liouville - Croix Nivert,15021,7,37,44,64,"[48.844835471244416, 2.297508493065834]"
Rochechouart lamartine,9010,2,8,10,24,"[48.876719895109, 2.344393021854]"
Carnot - Général Lanrezac,17033,5,1,6,30,"[48.875443870736, 2.2938242935036]"
Villette - Belleville,19032,2,0,2,48,"[48.8726877314, 2.376461327076]"
Marie-Georges Picquart - Pereire,17125,1,2,3,32,"[48.88863669349711, 2.3111706599593163]"
Place de Barcelone - Mirabeau,16030,3,34,37,55,"[48.847623027364, 2.2735664248466]"
Théophile Gautier - François Millet,16136,0,15,15,30,"[48.85034821320644, 2.273029983043671]"
Larmeroux - Baudelaire,21701,2,2,4,29,"[48.816939911292, 2.2809894804846]"
Parmentier - République,11105,6,19,25,50,"[48.8644954, 2.3750124]"
Lieutenant Chauré - Etienne Marey,20134,2,0,2,20,"[48.86746195408435, 2.405970990657807]"
Arche - Léonard de Vinci,24001,8,4,12,28,"[48.89790972494496, 2.2383723043644914]"
Charles de Gaulle - Sablonville,22016,7,8,15,26,"[48.87991924860035, 2.2763770446181297]"
Marseille - Beaurepaire,10014,7,36,43,55,"[48.871624306962985, 2.3639265082738348]"
Parmentier - Abel Rabaud,11035,3,1,4,52,"[48.86921273836114, 2.371688821240712]"
Mairie d'Ivry-sur-Seine,42010,1,18,19,53,"[48.81057120969284, 2.3842826485633855]"
Parc Georges Brassens - Brancion,15046,2,0,2,29,"[48.83227829269761, 2.3022570088505745]"
Place Paul Eluard,46001,5,0,5,19,"[48.7672039733195, 2.4144977331161503]"
Exelmans - Michel-Ange,16040,1,2,3,33,"[48.84309486651855, 2.2597770800669053]"
Mathurins - Auber,9032,3,21,24,36,"[48.872988840744, 2.3294984212276]"
Madame de Sanzillon - Mozart,21104,6,12,18,22,"[48.90379820774301, 2.3187401890754704]"
